2023-06-24 04:57:02 status unpacked libuuid1:arm64 2.37.2-4ubuntu3
2023-06-24 04:57:02 install libzstd1:arm64 <none> 1.4.8+dfsg-3build1
2023-06-24 04:57:02 status half-installed libzstd1:arm64 1.4.8+dfsg-3build1
2023-06-24 04:57:02 status unpacked libzstd1:arm64 1.4.8+dfsg-3build1
2023-06-24 04:57:02 install login:arm64 <none> 1:4.8.1-2ubuntu2
2023-06-24 04:57:02 status half-installed login:arm64 1:4.8.1-2ubuntu2
2023-06-24 04:57:02 status unpacked login:arm64 1:4.8.1-2ubuntu2
2023-06-24 04:57:03 install logsave:arm64 <none> 1.46.5-2ubuntu1
2023-06-24 04:57:03 status half-installed logsave:arm64 1.46.5-2ubuntu1
2023-06-24 04:57:03 status unpacked logsave:arm64 1.46.5-2ubuntu1
2023-06-24 04:57:03 install lsb-base:all <none> 11.1.0ubuntu4
2023-06-24 04:57:03 status half-installed lsb-base:all 11.1.0ubuntu4
2023-06-24 04:57:03 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-24 04:57:03 upgrade mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2023-06-24 04:57:03 status half-configured mawk:arm64 1.3.4.20200120-3
2023-06-24 04:57:03 status unpacked mawk:arm64 1.3.4.20200120-3
2023-06-24 04:57:03 status half-installed mawk:arm64 1.3.4.20200120-3
2023-06-24 04:57:03 status unpacked mawk:arm64 1.3.4.20200120-3
2023-06-24 04:57:03 install mount:arm64 <none> 2.37.2-4ubuntu3
2023-06-24 04:57:03 status half-installed mount:arm64 2.37.2-4ubuntu3
2023-06-24 04:57:03 status unpacked mount:arm64 2.37.2-4ubuntu3
2023-06-24 04:57:03 install ncurses-base:all <none> 6.3-2
2023-06-24 04:57:03 status half-installed ncurses-base:all 6.3-2
2023-06-24 04:57:03 status unpacked ncurses-base:all 6.3-2
2023-06-24 04:57:03 install ncurses-bin:arm64 <none> 6.3-2
2023-06-24 04:57:03 status half-installed ncurses-bin:arm64 6.3-2
2023-06-24 04:57:03 status unpacked ncurses-bin:arm64 6.3-2
2023-06-24 04:57:03 install passwd:arm64 <none> 1:4.8.1-2ubuntu2
2023-06-24 04:57:03 status half-installed passwd:arm64 1:4.8.1-2ubuntu2
2023-06-24 04:57:03 status unpacked passwd:arm64 1:4.8.1-2ubuntu2
2023-06-24 04:57:03 upgrade perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-06-24 04:57:03 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:57:03 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:57:03 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:57:03 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2023-06-24 04:57:03 install procps:arm64 <none> 2:3.3.17-6ubuntu2
2023-06-24 04:57:03 status half-installed procps:arm64 2:3.3.17-6ubuntu2
2023-06-24 04:57:04 status unpacked procps:arm64 2:3.3.17-6ubuntu2
2023-06-24 04:57:04 install sed:arm64 <none> 4.8-1ubuntu2
2023-06-24 04:57:04 status half-installed sed:arm64 4.8-1ubuntu2
2023-06-24 04:57:04 status unpacked sed:arm64 4.8-1ubuntu2
2023-06-24 04:57:04 install sensible-utils:all <none> 0.0.17
2023-06-24 04:57:04 status half-installed sensible-utils:all 0.0.17
2023-06-24 04:57:04 status unpacked sensible-utils:all 0.0.17
2023-06-24 04:57:04 install sysvinit-utils:arm64 <none> 3.01-1ubuntu1
2023-06-24 04:57:04 status half-installed sysvinit-utils:arm64 3.01-1ubuntu1
2023-06-24 04:57:04 status unpacked sysvinit-utils:arm64 3.01-1ubuntu1
2023-06-24 04:57:04 install tar:arm64 <none> 1.34+dfsg-1build3
2023-06-24 04:57:04 status half-installed tar:arm64 1.34+dfsg-1build3
2023-06-24 04:57:04 status unpacked tar:arm64 1.34+dfsg-1build3
2023-06-24 04:57:04 install usrmerge:all <none> 25ubuntu2
2023-06-24 04:57:04 status half-installed usrmerge:all 25ubuntu2
2023-06-24 04:57:04 status unpacked usrmerge:all 25ubuntu2
2023-06-24 04:57:04 install util-linux:arm64 <none> 2.37.2-4ubuntu3
2023-06-24 04:57:04 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2023-06-24 04:57:04 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2023-06-24 04:57:04 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-06-24 04:57:04 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2023-06-24 04:57:04 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2023-06-24 04:57:04 startup packages configure
2023-06-24 04:57:04 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-06-24 04:57:04 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-24 04:57:04 status half-configured lsb-base:all 11.1.0ubuntu4
2023-06-24 04:57:04 status installed lsb-base:all 11.1.0ubuntu4
